Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Item,"Air Handler, Fresh Air Makeup Unit (FAMU) 500CFM with Heat Strip & Flow Control",TRUE,,Chris,Updated,WP 3800,Sideways,235595,Attic,HVAC Air Handlers,230vac,Each,Technicold,MA500VHB-FC,,Manufacturer,51.5,2,103.0,8.13%,64.90,4.60,22.50,6685,474,2318,,,No,,,,,
,,Spec Item,"HVAC Control Set, Fresh Air Makeup Unit (FAMU)",TRUE,,Chris,Updated,WP 3800,Sideways,106687-01,Attic,HVAC Controls,N/A,Each,Technicold,22-08930,,Estimate,2,2,4.0,0.32%,64.90,0.00,22.50,260,0,90,,,No,,,,,
,,Spec Item,"6"" Air Duct and Fittings (FAMU and Dining/Salon Supply/Return)",TRUE,,Chris,Updated,WP 3800,Sideways,,Throughout,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,160,352.0,27.77%,72.00,0.00,18.00,25344,0,6336,,,,,,,,"6"""
,,Spec Item,"4"" Air Duct and Fittings (FAMU)",TRUE,,Chris,Updated,WP 3800,Sideways,,Throughout,Ducting,N/A,Lin. Ft.,,"4"" Rigid Ducting",,Calc,1.4,150,210.0,16.57%,57.00,0.00,13.00,11970,0,2730,,,,,,,,"4"""
,,Spec Item,"2"" PVC Pipe + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Attic,Piping,N/A,Lin. Ft.,PVC,,,Calc,2.23,75,167.3,13.20%,80.00,2.00,19.00,13380,335,3178,,,,,,,PVC,"2"""
,,Spec Item,"1.25"" PVC Pipe + Water",TRUE,,Chris,Updated,WP 3800,Sideways,,Attic,Piping,N/A,Lin. Ft.,PVC,,,Calc,0.99,16,15.8,1.25%,65.00,1.00,22.50,1030,16,356,,,,,,,PVC,"1.25"""
,,Spec Item,"1"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Attic,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.421,10,4.2,0.33%,66.00,4.50,22.50,278,19,95,,,,,,,PEX,"1"""
,,Spec Item,"3/4"" PEX Piping + Water",TRUE,,Chris,Updated,WP 3800,,,Attic,Piping,N/A,Lin. Ft.,PEX,,,Calc,0.263,24,6.3,0.50%,71.50,0.00,22.50,451,0,142,,,,,,,PEX,"3/4"""
,,Spec Item,"3/4"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP3800,Sideways,209180,Attic,Valve,N/A,Each,Apollo Valves,77-104-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,1.83,14,25.6,2.02%,68.00,0.00,22.50,1742,0,576,,,,,,,Bronze,"3/4"""
,,Spec Item,"5/8"" ID Hose + Water",TRUE,,Chris,Updated,WP 3800,,,Attic,Piping,N/A,Lin. Ft.,,,,Calc,0.27,21,5.7,0.45%,68.00,0.00,22.50,386,0,128,,,,,,,Hose,"5/8"""
,,Spec Item,Misc Water Piping Fittings and FAMU air distribution duct,TRUE,,Chris,Updated,WP 3800,,,Attic,Plumbing Accessories,N/A,Each,,,,Estimate,1,40,40.0,3.16%,65.00,0.00,22.50,2600,0,900,,,,,,,,
,,Spec Item,"DAMPER, GALV 5-3/4"" O.D. FOR STANDARD DUCT",TRUE,,Chris,Updated,WP 3800,,104952-01,Attic,Ducting,N/A,Each,McMaster-Carr Supply Co.,17355K61,https://www.mcmaster.com/#17355k61/=1dggmz0,Estimate,2,1,2.0,0.16%,65.00,4.00,23.50,130,8,47,,,No,,,,,
,,Spec Item,"DAMPER, GALV 3-3/4"" O.D. FOR STANDARD DUCT",TRUE,,Chris,Updated,WP 3800,,104953-01,Attic,Ducting,N/A,Each,McMaster-Carr Supply Co.,17355K59,https://www.mcmaster.com/#17355k59/=1dggmoi,Estimate,1.5,7,10.5,0.83%,65.00,4.00,23.00,683,42,242,,,No,,,,,
,508-00,Design Heading,HVAC Circulating Water System Design,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schematics,2D Schematics,,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-02,,,,,,,
,,Drawings / Deliverables,HVAC Circulating Water System A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-03,,,,,,,
,,Drawings / Deliverables,HVAC Circulating Water System Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-04,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated Parts),,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-05,,,,,,,
,,Drawings / Deliverables,Spool Paths for Piping (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-06,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-07,,,,,,,
,,Weight Estimate,Detailed Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,4383-509-08,,,,,,,
,509,Heading,Ventilation System (HVAC Exhaust and Unconditioned Air Systems),TRUE,,Chris,Updated,,Sideways,,,,,,,,,SubItems,,,764.9,2.11%,51.12,-3.22,19.23,39098,-2465,14706,,,,,,,,
,509-00,Spec Heading,Ventilation System for Westport 35m,TRUE,,Chris,Updated,,,,,,,,,,,,,,764.9,100.00%,51.12,-3.22,19.23,39098,-2465,14706,,,,,,,,
,,Spec Heading,Exhaust Fans,TRUE,,Chris,Updated,,,,Throughout,,,,,,,,,,48.3,6.32%,55.38,-6.13,21.19,2676,-296,1024,,,,,,,,
,,Spec Item,"Fan, FG4XL 4""",TRUE,,Chris,Updated,WP 3800,Sideways,212644,Attic,Fans,115-120  vac,Each,FANTECH,FG 4XL,http://www.fantech.net/enca/home/Products/fans--accessories/circular-duct-fans/circular-duct-fans-with-ac-motors/fg/fg-4xl-centrif-inline-fan/,Manufacturer,6.04,5,30.2,62.50%,64.00,-5.00,23.50,1933,-151,710,,,,,,,,
,,Spec Item,"Fan, FG4XL 4""",TRUE,,Chris,Updated,WP 3800,Sideways,212644,Master Bathroom,Fans,115-120  vac,Each,FANTECH,FG 4XL,http://www.fantech.net/enca/home/Products/fans--accessories/circular-duct-fans/circular-duct-fans-with-ac-motors/fg/fg-4xl-centrif-inline-fan/,Manufacturer,6.04,1,6.0,12.50%,40.00,-8.00,23.00,242,-48,139,,,,,,,,
,,Spec Item,"Fan, FG4XL 4""",TRUE,,Chris,Updated,WP 3800,Sideways,212644,Crew Stair,Fans,115-120  vac,Each,FANTECH,FG 4XL,http://www.fantech.net/enca/home/Products/fans--accessories/circular-duct-fans/circular-duct-fans-with-ac-motors/fg/fg-4xl-centrif-inline-fan/,Manufacturer,6.04,2,12.1,25.00%,41.50,-8.00,14.50,501,-97,175,,,,,,,,
,,Spec Heading,Exhaust Ducting,TRUE,,Chris,Updated,,,,Throughout,,,,,,,,,,563.6,73.68%,52.76,-3.00,19.24,29730,-1691,10845,,,,,,,,
,,Spec Item,"4"" PVC Pipe",TRUE,,Chris,Updated,,,,Throughout,Ducting,N/A,Lin. Ft.,,"4"" PVC",,Calc,2.75,85,233.8,41.48%,51.00,-3.00,21.00,11921,-701,4909,,,,,,,,
,,Spec Item,"3"" PVC Pipe",TRUE,,Chris,Updated,,,,Throughout,Ducting,N/A,Lin. Ft.,,"3"" PVC",,Calc,1.94,170,329.8,58.52%,54.00,-3.00,18.00,17809,-989,5936,,,,,,,,
,,Spec Heading,Galley Exhaust Systems,TRUE,,Chris,Updated,,,,Galley,,,,,,,,,,94.0,12.29%,42.00,0.31,20.79,3948,29,1954,,,,,,,,
,,Spec Item,"Blower, Internal, 600cfm",TRUE,,Chris,Updated,WP 3800,Sideways,105054-01,Galley,Fans,115-120  vac,Each,Wolf Appliances,822727,https://www.appliancesconnection.com/wolf-822727.html,Manufacturer,10,1,10.0,10.64%,42.00,0.00,19.00,420,0,190,,,No,,,,,
,,Spec Item,"8"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Galley,Ducting,N/A,Lin. Ft.,,"8"" Rigid Ducting",,Calc,2.8,12,33.6,35.74%,42.00,4.00,21.00,1411,134,706,,,,,,,,"8"""
,,Spec Item,Fire Damper,TRUE,,Chris,Updated,,,,Galley,Ducting,,Each,Ruskin,FDR25,http://www.ruskin.com/doc/Id/452,Manufacturer,12,2,24.0,25.53%,42.00,0.00,21.00,1008,0,504,,,,,,,,
,,Spec Item,"6"" Air Duct and Fittings",TRUE,,Chris,Updated,WP 3800,Sideways,,Galley,Ducting,N/A,Lin. Ft.,,"6"" Rigid Ducting",,Calc,2.2,12,26.4,28.09%,42.00,-4.00,21.00,1109,-106,554,,,,,,,,"6"""
,,Spec Heading,Laundry Room Ventilation,TRUE,,Chris,Updated,,,,Crew Mess,,,,,,,,,,59.0,7.71%,46.50,-8.59,14.97,2744,-507,883,,,,,,,,
,,Spec Item,"Lint Trap, Inline Dryer  4"" DBLT4W",TRUE,,Chris,Updated,,,203378,Crew Mess,Ducting,N/A,Each,,,,Estimate,12,2,24.0,40.68%,46.50,-8.00,12.00,1116,-192,288,,,,,,,,
,508-10-02,Specifications,Clothes Dryer Ducting,TRUE,,Chris,Updated,,,,Crew Mess,Ducting,N/A,Lin. Ft.,,"4"" rigid",,Calc,1.4,25,35.0,59.32%,46.50,-9.00,17.00,1628,-315,595,,,,,,,,
,509-00,Design Heading,Ventilation System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schematics,2D Schematics,,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-02,,,,,,,
,,Drawings / Deliverables,HVAC System A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-03,,,,,,,
,,Drawings / Deliverables,HVAC System Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-04,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated Parts),,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-05,,,,,,,
,,Drawings / Deliverables,Spool Paths for Piping (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-06,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-07,,,,,,,
,,Weight Estimate,Detailed Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,4383-508-08,,,,,,,
,510,Heading,Hydraulic System,TRUE,,Chris,Updated,,Down,,,,,,,,,SubItems,,,1593.1,4.39%,100.07,-0.42,6.75,159430,-666,10748,,,,,,,,
,510-00,Spec Heading,"Hydraulic System Primary Features, Components and Specifications",TRUE,,Chris,Updated,,,,,,,,,,,,,,1593.1,100.00%,100.07,-0.42,6.75,159430,-666,10748,,,,,,,,
,,Spec Heading,Steering Hydraulics,TRUE,,Chris,Updated,,,,,,,,,,,,,,178.7,11.22%,104.42,0.90,5.26,18660,160,940,,,,,,,,
,,Spec Item,Engine Driven Pump  - Deselected as it is in item 302,,,Chris,Updated,WP 3800,Sideways,,Engine  Room,Hydraulics,,Each,Seastar,HP5830,,Manufacturer,13.3,2,,,86.70,0.00,6.00,,,,,,,,,,,
,,Spec Item,Jastram D.A.R.B. Relief/Bypass Valve,TRUE,,Chris,Updated,WP 3800,Sideways,228362,Lazarette,Valve,,Each,Jastram,DARB 10,,Manufacter,6.6,1,6.6,3.69%,107.00,0.00,5.00,706,0,33,,,No,,,,,
,,Spec Item,Reservoir and Manifold Assembly,TRUE,,Chris,Updated,WP 3800,Sideways,,Bilge Aft,Hydraulics,,Each,,,,Estimate,40,2,80.0,44.77%,107.00,2.00,5.00,8560,160,400,,,,,,,,
,,Spec Item,Piping and Hoses,TRUE,,Chris,Updated,WP 3800,Sideways,,Bilge Aft,Hydraulics,,Lin. Ft.,,"Mostly 3/4"" SS Tube assumed swagelok",,Calc,0.591,100,59.1,33.07%,102.00,0.00,5.50,6028,0,325,,,,,,,,
,,Spec Item,Fittings,TRUE,,Chris,Updated,WP 3800,Sideways,,Bilge Aft,Hydraulics,,Each,,,,Estimate,15,1,15.0,8.39%,102.00,0.00,5.50,1530,0,83,,,,,,,,
,,Spec Item,"Clamp, Stauff Body Std with Insulation 1""",TRUE,,Chris,Updated,WP 3800,Sideways,28685,Bilge Aft,Clamps,N/A,Each,,,,Guess,1.5,12,18.0,10.07%,102.00,0.00,5.50,1836,0,99,,,,,,,,"1"""
,,Spec Heading,"Hydraulic System, Forepeak Windlass - NOW ELECTRIC",,,Chris,Updated,,,,Forepeak,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,Hydraulic Piping,,,Chris,Updated,WP 3800,Down,,Forepeak,Piping,,Lin. Ft.,,"Mostly 1"" SS Tube",,Calc,1.02,32,,,16.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Skid Assembly, HPU, 316L SS, 94""",,,Chris,Updated,WP 3800,Sideways,103445-01,Forepeak,Skid Assembly,,Each,,,,Solidworks,225,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Reservoir Assembly, Hydraulic, 15 Gallon",,,Chris,Updated,WP 3800,Sideways,103349-01,Forepeak,Tanks,,Each,,,,Solidworks,106,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Drivetrain Assembly, 10HP, 4GPM",,,Chris,Updated,WP 3800,Sideways,103350-01,Forepeak,TBD,,Each,,,,Manufacturer,189,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Drivetrain Assembly, 10HP, 4GPM",,,Chris,Updated,WP 3800,Sideways,103350-01,Forepeak,TBD,,Each,,,,Manufacturer,189,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Heat Exchanger, Hydraulic, Two Pass",,,Chris,Updated,WP 3800,Sideways,103447-01,Forepeak,Heat Exchanger,,Each,,,,Manufacturer,8,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Item,"Miscellaneous (Isolation Mounts, Hardware, Etc.)",,,Chris,Updated,WP 3800,Sideways,NA,Forepeak,Isolation Mounts,,Each,,,,Guess,30,1,,,17.00,0.00,12.00,,,,,,,,,,,
,,Spec Heading,"Hydraulic System, Passerelle, Crane, Aft Door",TRUE,,Chris,Updated,,,102313.006-01,,,,,,,,SubItems,,,961.8,60.37%,107.18,-2.27,7.66,103084,-2184,7364,,,,,,,,
,,Spec Item,"Hydraulic Piping, Lazarette",TRUE,,Chris,Updated,WP 3800,,,Lazarette,Piping,,Each,,,,Guess,50,1,50.0,5.20%,108.00,-2.00,8.00,5400,-100,400,,,,,,,,
,,Spec Item,Miscellaneous Hydraulic Fittings,TRUE,,Chris,Updated,WP 3800,Sideways,,Lazarette,Miscellaneous Hydraulic Fittings,,Each,,,,Guess,20,1,20.0,2.08%,108.00,-2.00,8.00,2160,-40,160,,,,,,,,
,,Spec Item,Passarelle Control Manifold,TRUE,,Chris,Updated,WP 3800,Sideways,,Lazarette,Manifold,,Each,,,,Guess,100,1,100.0,10.40%,109.00,-6.70,8.00,10900,-670,800,,,,,,,,
,,Spec Item,C-Hinge Control Manifold,TRUE,,Chris,Updated,WP 3800,Sideways,,Lazarette,Manifold,,Each,,,,Guess,30,1,30.0,3.12%,109.00,-6.70,9.00,3270,-201,270,,,,,,,,
,,Spec Item,Hydraulic System Electrical Control Panel,TRUE,,Chris,Updated,WP 3800,Sideways,,Lazarette,Controls,,Each,,,,Guess,60,1,60.0,6.24%,106.50,6.30,16.00,6390,378,960,,,,,,,,
,,Spec Item,Aft Door Lock Cylinders,TRUE,,Chris,Updated,,,,Lazarette,Hydraulics,,Each,,,,Estimate,10,4,40.0,4.16%,109.00,0.00,9.00,4360,0,360,,,,,,,,
,,Spec Item,Aft Door Hinge Cylinders,TRUE,,Chris,Updated,,,,Lazarette,Hydraulics,,Each,,,,Estimate,25,2,50.0,5.20%,107.00,0.00,14.00,5350,0,700,,,,,,,,
,,Spec Item,Hydraulic Door Controls,TRUE,,Chris,Updated,,,,Lazarette,Hydraulics,,Each,,,,Estimate,50,1,50.0,5.20%,106.50,-6.30,16.00,5325,-315,800,,,,,,,,
,,Spec Item,Hydraulic Piping to Crane,TRUE,,Chris,Updated,,,,Aft Deck,Piping,,Lin. Ft.,,"1/2"" tube",,Calc,0.34,44,15.0,1.56%,95.00,-9.50,12.00,1421,-142,180,,,,,,,,
,,Spec Item,N2BHPF82 (HPU),TRUE,,Chris,Updated,WP 3800,Sideways,N2BHPF82,Lazarette,Hydraulics,,Each,,,,Guess,400,1,400.0,41.59%,107.00,-2.00,5.00,42800,-800,2000,,,,,,,,
,,Spec Item,HPU Hydraulic Fluid (20 GAL),TRUE,,Chris,Updated,WP 3800,Sideways,,Lazarette,Fluids,,GAL,,,,Calc,7.34,20,146.8,15.26%,107.00,-2.00,5.00,15708,-294,734,,,,,,,,
,,Spec Heading,"Hydraulic System, Stabilizers",TRUE,,Chris,Updated,,,,,,,,,,,,,,452.7,28.41%,83.25,3.00,5.40,37686,1358,2445,,,,,,,,
,,Spec Item,Engine Driven Pump - Deselected as it is in item 302,,,Chris,Updated,WP 3800,Sideways,,Engine  Room,Hydraulics,,Each,Parker,PVP33,,Manufacturer,45,2,,,86.70,0.00,6.00,,,,,,,,,,,
,,Spec Item,"Hydraulic Piping, Engineroom Rough In",TRUE,,Chris,Updated,WP 3800,Down,,Engineroom,Piping,,Each,,,,Calc,30,1,30.0,6.63%,85.00,0.00,5.50,2550,0,165,,,,,,,,
,,Spec Item,"Fluid Conditioner Assembly, 15 Gallon",TRUE,,Chris,Updated,WP 3801,Sideways,700535,Engineroom,Mechanical Equipment,,Each,,,,Guess,75,1,75.0,16.57%,85.00,4.00,5.50,6375,300,413,,,,,,,,
,,Spec Item,"Heat Exchanger, Stabilizer",TRUE,,Chris,Updated,WP 3802,Sideways,222339,Engineroom,Heat Exchanger,,Each,,,,Guess,30,1,30.0,6.63%,84.00,4.00,5.50,2520,120,165,,,,,,,,
,,Spec Item,Pressure Filter Assembly,TRUE,,Chris,Updated,WP 3803,Sideways,700536,Engineroom,Filter,,Each,,,,Calc,48,1,48.0,10.60%,84.50,4.00,5.50,4056,192,264,,,,,,,,
,,Spec Item,"Rotary Flow Sight Guage 1"" NPT F",TRUE,,Chris,Updated,WP 3804,Sideways,208200,Engineroom,Gauges,,Each,McMaster-Carr Supply Co.,4195K17,https://www.mcmaster.com/#4195k17/=1dgglmd,Guess,3,1,3.0,0.66%,84.50,4.00,5.50,254,12,17,,,,,,,,
,,Spec Item,"Reservoir Manifold Assembly, 10 GAL",TRUE,,Chris,Updated,WP 3805,Sideways,700987,Engineroom,Manifold,,Each,,,,Guess,90,1,90.0,19.88%,84.50,4.00,5.00,7605,360,450,,,,,,,,
,,Spec Item,Hydraulic Fluids,TRUE,,Chris,Updated,WP 3806,Sideways,"LIQUIDS, HYDR",Engineroom,Fluids,,GAL,,,,Guess,7.2,10,72.0,15.91%,84.00,3.00,5.50,6048,216,396,,,,,,,,
,,Spec Item,"Clamp, Stauff Body Standard with INS 1""",TRUE,,Chris,Updated,WP 3807,Sideways,28685,Engineroom,Clamps,N/A,Each,,,,Guess,3,8,24.0,5.30%,84.00,0.00,5.50,2016,0,132,,,,,,,,"1"""
,,Spec Item,"I-Beam, FG Series 1525 3 X 1/4""",TRUE,,Chris,Updated,WP 3808,Sideways,81086,Engineroom,Laminate,,LF,,,,Calc,2,0.833,1.7,0.37%,84.00,0.00,5.50,140,0,9,,,,,,,,
,,Spec Item,"Hydraulic Piping, Bilge Mid",TRUE,,Chris,Updated,WP 3808,Sideways,,Mid Bilge,TBD,,Each,,,,Calc,50,1,50.0,11.05%,77.50,2.00,5.50,3875,100,275,,,,,,,,
,,Spec Item,"Hydraulic Piping, Support I- Beam, FG Series 1525 3 X 1/4""",TRUE,,Chris,Updated,WP 3808,Sideways,81086,Mid Bilge,Foundations,,Each,,,,Manufacturer,3,3,9.0,1.99%,77.50,2.00,5.50,698,18,50,,,,,,,,
,,Spec Item,"Miscellaneous  Hydraulic System Fittings(Clamps, Spacers, Etc.)",TRUE,,Chris,Updated,WP 3808,Sideways,NA,Mid Bilge,TBD,,Each,,,,Guess,20,1,20.0,4.42%,77.50,2.00,5.50,1550,40,110,,,,,,,,
,510-00,Design Heading,Vessel Hydraulic System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schematics,2D Schematics,,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-02,,,,,,,
,,Drawings / Deliverables,Hydraulic A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-03,,,,,,,
,,Drawings / Deliverables,Hydraulic System Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-04,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated Parts),,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-05,,,,,,,
,,Drawings / Deliverables,Spool Paths for Piping (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-06,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-07,,,,,,,
,,Weight Estimate,Detailed Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,4383-510-08,,,,,,,
,511,Heading,Lubrication Oil System,TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,208.3,0.57%,89.35,0.00,3.20,18614,0,668,,,,,,,,
,511-00,Spec Heading,Lube Oil System Primary Features and Components,TRUE,,,,,,,,,,,,,,,,,208.3,100.00%,89.35,0.00,3.20,18614,0,668,,,,,,,,
,,Spec Heading,New Lube Oil Tank,TRUE,,Chris,Updated,,,,Engine  Room,,,,,,,,,,89.2,42.80%,88.90,-0.84,2.57,7927,-75,229,,,,,,,,
,,Spec Item,New Lube Oil Tank,TRUE,,Chris,Updated,New,Down,New,Engine  Room,Tanks,N/A,Each,Westport Shipyards,Custom,Weight as per weight study,Calc,88,1,88.0,98.69%,88.90,-0.85,2.58,7823,-75,227,,,,,,,,
,,Spec Item,"Transducer, Pressure 100 IN 4-20MA",TRUE,,Chris,Updated,WP 3800,Sideways,228726,Engine  Room,Transducer,24vdc,Each,QUANTUM AUTOMATION,PTD25-20-0100WCH,https://cdn.automationdirect.com/static/specs/prosensetransmitters.pdf,Manufacturer,0.48,1,0.5,0.54%,88.90,0.00,1.50,43,0,1,,,No,,,,TBD,
,,Spec Item,"1/2"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP 3800,Sideways,209179,Bilge Engine Room,Valve,N/A,Each,Apollo Valves,77-103-10,https://www.amronintl.com/1-2-in-ss-lever-and-nut.html,Manufacturer,0.69,1,0.7,0.77%,88.90,0.00,1.50,61,0,1,,,No,,,,Bronze,"1/2"""
,,Spec Heading,Used Lube Oil Tank,TRUE,,Chris,Updated,,,,Engine  Room,,,,,,,,,,89.2,42.80%,88.90,0.84,2.57,7927,75,229,,,,,,,,
,,Spec Item,Used Lube Oil Tank,TRUE,,Chris,Updated,New,Down,New,Engine  Room,Tanks,N/A,Each,Westport Shipyards,Custom,Weight as per weight study,Calc,88,1,88.0,98.69%,88.90,0.85,2.58,7823,75,227,,,,,,,,
,,Spec Item,"Transducer, Pressure 100 IN 4-20MA",TRUE,,Chris,Updated,WP 3800,Sideways,228726,Engine  Room,Transducer,24vdc,Each,QUANTUM AUTOMATION,PTD25-20-0100WCH,https://cdn.automationdirect.com/static/specs/prosensetransmitters.pdf,Manufacturer,0.48,1,0.5,0.54%,88.90,0.00,1.50,43,0,1,,,No,,,,TBD,
,,Spec Item,"1/2"" Ball Valve, Full Port, with SS Lever",TRUE,,Chris,Updated,WP 3800,Sideways,209179,Bilge Engine Room,Valve,N/A,Each,Apollo Valves,77-103-10,https://www.amronintl.com/1-2-in-ss-lever-and-nut.html,Manufacturer,0.69,1,0.7,0.77%,88.90,0.00,1.50,61,0,1,,,No,,,,Bronze,"1/2"""
,,Spec Item,Lube Oil Hoses and Fittings,TRUE,,Chris,Updated,,,,Engine  Room,Hose,N/A,Each,,,,,30,1,30.0,14.40%,92.00,0.00,7.00,2760,0,210,,,,,,,,
,511-00,Design Heading,Lube Oil System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Schematics,2D Schematics,,,,,,,,,,,,,,,,,,,,,,,,,,511-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,511-02,,,,,,,
,,Drawings / Deliverables,Lube Oil System A&D,,,,,,,,,,,,,,,,,,,,,,,,,,511-03,,,,,,,
,,Drawings / Deliverables,Lube Oil System Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,511-04,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated Parts),,,,,,,,,,,,,,,,,,,,,,,,,,511-05,,,,,,,
,,Drawings / Deliverables,Spool Paths for Piping (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,511-06,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,511-07,,,,,,,
,,Weight Estimate,Detailed Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,511-08,,,,,,,
,512,Heading,Gray Water System,TRUE,,Brian,Updated,,,,,,,,,,,SubItems,,,1102.7,3.04%,66.66,-0.20,8.33,73506,-219,9189,,,,,,,,
,512-00,Spec Heading,Gray Water System Features & Components,TRUE,,,,,,,,,,,,,,,,,1102.7,100.00%,66.66,-0.20,8.33,73506,-219,9189,,,,,,,,
,,Spec Heading,Through Hulls,TRUE,,,,,,,,,,,,,,,,,6.9,0.63%,90.00,11.50,5.00,621,79,35,,,,,,,,
,,Spec Item,"1-1/2"" Through Hull, Extra Long",TRUE,,Brian,Updated,WP 3800,Sideways,51028,Engine  Room,Through Hulls,N/A,Each,Buck Algonquin Marine Hardware,#00TH150XL,https://www.fisheriessupply.com/buck-algonquin-extra-long-thru-hulls-00th150xl,Manufacturer,2.3,3,6.9,100.00%,90.00,11.50,5.00,621,79,35,,,No,,,,Bronze,"1-1/2"""
,,Spec Heading,Vents,TRUE,,,,,,,,,,,,,,,,,7.2,0.65%,65.01,0.54,15.98,468,4,115,,,,,,,,
,,Spec Item,"1-1/2"" Sure Vent",TRUE,,Brian,Updated,WP 3800,Sideways,207684,Boat Deck,Venting,N/A,Each,Oatey,39228,https://www.amazon.com/Oatey-39228-Admittance-Schedule-Adapter/dp/B0069KCW1K,Manufacturer,0.45,1,0.5,6.25%,77.20,7.40,27.50,35,3,12,,,No,,,,PVC,"1-1/2"""
,,Spec Item,"1-1/2"" Sure Vent",TRUE,,Brian,Updated,WP 3800,Sideways,207684,Aft Deck,Venting,N/A,Each,Oatey,39228,https://www.amazon.com/Oatey-39228-Admittance-Schedule-Adapter/dp/B0069KCW1K,Manufacturer,0.45,1,0.5,6.25%,97.00,8.66,16.75,44,4,8,,,,,,,PVC,"1-1/2"""
